,artist,track
0,Black Sabbath,War Pigs
1,The Pack,This Shit Slappin'
2,M.I.A.,Paper Planes
3,Jimmy Smith,I'm Gonna Love You Just a Little More Babe
4,Dorrough,Ice Cream Paint Job
5,J-Kwon,Tipsy '09
6,N.W.A,"Appetite for Destruction"" (portion sampled samples ""Get Me Back on Time, Engine #9"" by Wilson Pickett)"
7,Missy Elliott,Get Ur Freak On
8,Busta Rhymes featuring Sean Paul and Spliff Star,Make It Clap
9,Jay-Z featuring Amil and Ja Rule,Can I Get A...
10,Barry White,I'm Gonna Love You Just a Little More Baby
11,Clipse featuring Pharrell,I'm Good
12,Jay-Z,"D.O.A. (Death of Auto-Tune)"" (portion sampled samples ""In the Space"" by Janko Nilović and Dave Sucky)"
13,GZA,"Liquid Swords"" (portion sampled samples ""Groovin'"" by Willie Mitchell)"
14,Beck,"Loser"" (portion sampled samples ""I Walk on Gilded Splinters"" by Johnny Jenkins)"
15,Jean Knight,Mr. Big Stuff
16,Sir Mix-a-Lot,Posse on Broadway
17,DMX,What's My Name?
18,Slim featuring Red Café,Break U Down (Remix)
19,Terror Squad,Lean Back
20,Ester Dean featuring Chris Brown,Drop It Low
21,Uncle Louie,I Like Funky Music
22,Beyoncé,Single Ladies (Put a Ring on It)
23,Miley Cyrus,Party in the U.S.A.
24,"Dr. Dre featuring Snoop Dogg, Nate Dogg, and Kurupt",The Next Episode
25,Portishead,"Sour Times"" (portion sampled samples ""Danube Incident"" by Lalo Schifrin)"
26,Talking Heads,Take Me to the River
27,Jadakiss featuring Swizz Beatz and OJ Da Juiceman,Who's Real
28,Public Enemy,"Public Enemy No. 1"" (portion sampled samples ""Feel the Heartbeat"" by Treacherous Three)"
29,Cypress Hill,"How I Could Just Kill a Man"" (portion sampled samples ""Midnight Theme"" by Manzel)"
30,Busta Rhymes,Dangerous
31,Master P featuring 5th Ward Weebie and Krazy,Rock It
32,White Town,Your Woman
33,Lady GaGa,LoveGame
34,Snoop Dogg featuring The-Dream,Gangsta Luv
35,George Michael,Freedom! '90
36,Busta Rhymes featuring Swizz Beatz,Stop the Party
37,DMX,Party Up (Up in Here)
38,Toadies,Possum Kingdom
39,U2,Sunday Bloody Sunday
40,Third Eye Blind,Semi-Charmed Life
41,Kid 'n Play,Rollin' with Kid 'n Play
42,Heavy D & the Boyz,We Got Our Own Thang
43,The Grateful Dead,Casey Jones
44,Ice Cube,The Nigga Ya Love to Hate
45,INXS,Need You Tonight
46,Lisa Lisa and Cult Jam,"Let the Beat Hit 'Em"" (portion sampled samples ""AJ Scratch"" by Kurtis Blow)"
47,Grand Funk Railroad,We're an American Band
48,New Order,Bizarre Love Triangle
49,White Zombie,Thunder Kiss '65
50,Twista featuring Erika Shevon,Wetter
51,Aphex Twin,Windowlicker
52,Daft Punk,One More Time
53,Rye Rye featuring M.I.A.,Bang
54,Pitbull,Hotel Room Service
55,The Who,Won't Get Fooled Again
56,Frankie Smith,Double Dutch Bus
57,Missy Elliott featuring Ludacris,Gossip Folks
58,Young Jeezy,Bottom of the Map
59,The Grass Roots,Let's Live for Today
60,Run-D.M.C.,It's Tricky
61,Derek and the Dominos,Layla
62,Mandrill,Honey Butt
63,Alanis Morissette,You Oughta Know
64,Warrant,Cherry Pie
65,Michael Jackson,Black or White
66,Flo Rida featuring Kesha,Right Round
67,Crystal Waters,Gypsy Woman (She's Homeless)
68,Madness,Our House
69,Pitbull featuring Lil Jon,Krazy
70,The Rapture,House of Jealous Lovers
71,Billy Idol,Mony Mony
72,Ghost Town DJ's,My Boo
73,Rick Ross featuring Styles P,B.M.F. (Blowin' Money Fast)
74,B.o.B featuring T.I. and Playboy Tre,Bet I
75,Mr. Oizo,Flat Beat
76,Arcade Fire,Wake Up
77,Baby Bash featuring Lloyd,Good for My Money
78,Radiohead,Idioteque
79,Travis Porter,Go Shorty Go
80,Usher featuring Nicki Minaj,Lil Freak
81,Young T featuring Treal Lee,Work Dat Lumba
82,Bruce Springsteen,Dancing in the Dark
83,2Pac,Me Against the World
84,OutKast,B.O.B.
85,Phoenix,1901
86,Ludacris featuring Nicki Minaj,My Chick Bad
87,Phoenix,1901
88,Keri Hilson featuring Lil Wayne,Turnin' Me On
89,Blondie,Dreaming
90,Lil Wayne,A Milli
91,Crooked I,Everythang
92,Lil Jon featuring E-40 and Sean Paul,Snap Yo Fingers
93,Ice Cube,It Was a Good Day
94,"Drake featuring Kanye West, Lil Wayne and Eminem",Forever
95,The Bangz featuring New Boyz,Found My Swag
96,The Rolling Stones,"Paint It, Black"
97,Van Halen,Jump
98,Fine Young Cannibals,Good Thing
99,Gucci Mane,Making Love to the Money
100,Darude,Sandstorm
101,Gloria Estefan and Miami Sound Machine,Words Get in the Way
102,Jay-Z,Dirt Off Your Shoulder
103,Gucci Mane,I'm the Shit
104,2Pac featuring K-Ci & JoJo,How Do U Want It
105,Jay-Z,99 Problems
106,Ludacris featuring Mystikal and I-20,Move Bitch
107,N.W.A,"Express Yourself"" (portion sampled samples ""Express Yourself"" by Charles Wright & the Watts 103rd Street Rhythm Band)"
108,The Brothers Johnson,Strawberry Letter 23
109,Ramones,Blitzkrieg Bop
110,Bun B featuring Webbie and Juvenile,Pop It 4 Pimp
111,Citizen King,"Better Days (And the Bottom Drops Out)"" (portion sampled samples ""Eric B. Is President"" by Eric B. & Rakim)"
112,Juicy J featuring Project Pat,Twerk
113,"Craig Mack featuring The Notorious B.I.G., Mack, Rampage, LL Cool J and Busta Rhymes",Flava in Ya Ear (Remix)
114,Jim Jones and Ron Browz featuring Juelz Santana,Pop Champagne
115,Rihanna featuring Young Jeezy,Hard
116,Wale featuring Gucci Mane,Pretty Girls
117,Deftones,Around the Fur
118,Fugazi,Waiting Room
119,Boogie Down Productions,"South Bronx"" (portion sampled samples ""Get Up Offa That Thing"" by James Brown)"
120,Jay-Z featuring Swizz Beatz,On to the Next One
121,Peter Gabriel,In Your Eyes
122,Spacehog,"In the Meantime"" (portion sampled samples ""Telephone and Rubber Band"" by Penguin Cafe Orchestra)"
123,MC Shan,"The Bridge"" (portion sampled samples ""Impeach the President"" by The Honey Drippers)"
124,Whodini,Friends
125,Miley Cyrus,Party in the U.S.A.
126,Naughty by Nature,Everything's Gonna Be Alright
127,Big Boi featuring Cutty,Shutterbugg
128,50 Cent,Disco Inferno
129,Skee-Lo,I Wish
130,Janet Jackson,Love Will Never Do (Without You)
131,New Edition,If It Isn't Love
132,Radiohead,Creep
133,Prince & the New Power Generation,Gett Off
134,Iggy Pop,Lust for Life
135,Herbie Hancock,Rockit
136,Justin Timberlake,SexyBack
137,Lil' Kim featuring Mr. Cheeks,The Jump Off
138,Gang Starr featuring Nice & Smooth,DWYCK
139,2 Live Crew,Banned in the U.S.A.
140,B.o.B featuring Bruno Mars,Nothin' on You
141,Method Man & Redman,Tear It Off
142,DJ Jubilee,"Get Ready, Ready!"
143,Lil Jon and the East Side Boyz featuring Ying Yang Twins,Get Low
144,Fabolous,Young'n (Holla Back)
145,"The Notorious B.I.G. featuring Diddy, Nelly, Jagged Edge, and Avery Storm",Nasty Girl
146,Pet Shop Boys,Opportunities (Let's Make Lots of Money)
147,Birdman featuring Kevin Rudolf and Lil Wayne,I Want It All
148,Chubb Rock,Treat 'Em Right
149,Britney Spears,Circus
150,Ying Yang Twins,Wild Out
151,De La Soul,Me Myself and I
152,Lyn Collins,Think (About It)
153,U2,With or Without You
154,Soulja Boy,Pretty Boy Swag
155,Fatman Scoop and Big Kap,Party Anthem
156,Rage Against the Machine,Killing in the Name
157,O'mega Red and Detail,Endz
158,will.i.am and Nicki Minaj,"Check It Out"" (portion sampled samples ""Think (About It)"" by Lyn Collin)"
159,Steve Winwood,Roll with It
160,Kid Cudi,Day 'n' Nite (Crookers Remix)
161,Daft Punk,"Digital Love"" (portion sampled samples ""I Love You More"" by George Duke)"
162,Young Jeezy,Bottom of the Map
163,B.o.B featuring Rich Boy,Haterz Everywhere
164,Mandrill,Positive Thing
165,DJ Class,I'm the Shit
166,Love and Rockets,So Alive
167,LL Cool J featuring Jennifer Lopez,Control Myself
168,Federico Franchi,Cream
169,Chelley,Took the Night
170,Young MC,Bust a Move
171,Usher featuring will.i.am,OMG
172,Trick Daddy,Shut Up
173,Cyndi Lauper,Time After Time
174,Beastie Boys,Root Down
175,Waka Flocka Flame,Hard in da Paint
176,Crime Mob,Knuck If You Buck
177,Van Halen,Eruption
178,DJ Funk,Pop Those Thangs
179,Clipse,Champion
180,T-Pain featuring Young Jeezy,Reverse Cowgirl
181,Soulja Boy,Bird Walk
182,Party Boyz featuring Dorrough and Charlie Boy,Flex (Remix)
183,Supergrass,Alright
184,Harvey Danger,Flagpole Sitta
185,Collective Soul,Shine
186,A Flock of Seagulls,I Ran (So Far Away)
187,Nirvana,Aneurysm
188,Beyoncé,Diva
189,Devo,Whip It
190,SupaSTAAR featuring Gorilla Zoe and Yung Joc,Head 'N Shoulders
191,Joe Jackson,Steppin' Out
192,Nirvana,In Bloom
193,Neil Diamond,"Cherry, Cherry"
194,50 Cent,Wanksta
195,J-Kwon,Tipsy '09
196,Willow Smith,Whip My Hair
197,Gucci Mane featuring Swizz Beatz,Gucci Time
198,Mims,Move (If You Wanna)
199,DJ Unk,Futuristic Slide
200,Billy Idol,Dancing with Myself
201,Cassidy,Face to Face
202,Hotstylz featuring Yung Joc,Lookin Boy
203,Hall & Oates,You Make My Dreams
204,Bobby Valentino featuring Yung Joc,Beep
205,Mann featuring Yung Sneed,Fight Come wit It
206,UGK,One Day
207,Chick Da Flyest featuring Travis Porter,Marvelous
208,Barbee featuring Trina,Come See Bout Me
209,Freeway featuring Peedi Crakk,Flipside
210,Master P featuring 5th Ward Weebie,Ooohhhwee
211,The D.O.C.,It's Funky Enough
212,Jay-Z featuring Alicia Keys,Empire State of Mind
213,Eminem featuring Dr. Dre and 50 Cent,Crack a Bottle
214,Slick Rick and Doug E. Fresh,La Di Da Di
215,The Doors,Waiting for the Sun
216,General Public,Tenderness
217,Allen Toussaint,"Get Out of My Life, Woman"
218,Electric Light Orchestra,Mr. Blue Sky
219,Christina Aguilera featuring Nicki Minaj,Woohoo
220,Snoop Dogg featuring Pharrell,Drop It Like It's Hot
221,Black Rob,Whoa!
222,Dr. Octagon,"Blue Flowers"" (portion sampled samples ""Bumpin' Bus Stop"" by Thunder and Lightning)"
223,Rihanna,Rude Boy
224,Foxy Brown,Hot Spot
225,OMG Girlz featuring New Boyz,Haterz
226,Beastie Boys,"Paul Revere"" (portion sampled samples ""It's Yours"" by T La Rock and Jazzy Jay)"
227,M.O.P.,"Ante Up"" (portion sampled samples ""Soul Sister, Brown Sugar"" by Sam & Dave)"
228,Amerie,"Why R U"" (portion sampled samples ""Ego Trippin'"" by Ultramagnetic MCs)"
229,Ice Cube,We Be Clubbin'
230,The Notorious B.I.G.,Hypnotize
231,Ol' Dirty Bastard,Shimmy Shimmy Ya
232,Prince,Delirious
233,Beastie Boys,Hey Ladies
234,"Mr. Cheeks featuring Missy Elliot, Diddy, and Petey Pablo","Lights, Camera, Action! (Remix)"
235,Bananarama,Cruel Summer
236,Genesis,"Tonight, Tonight, Tonight"
237,The Jackson 5,I Want You Back
238,Beastie Boys,"Intergalactic"" (portion sampled samples ""The New Style"" by Beastie Boys)"
239,Simon and Garfunkel,Cecilia
240,Main Source,Looking at the Front Door
241,James Brown,Funky Drummer
242,Ludacris featring Lil Scrappy,"Everybody Drunk"" (portion sampled samples ""You Don't Want Drama"" by 8Ball & MJG)"
243,Robert Palmer,Addicted to Love
244,DJ OGB featuring Francisco and Gemeni,Hands Up
245,Lady Gaga,Bad Romance
246,George Clinton,Atomic Dog
247,Kraftwerk,It's More Fun to Compute
248,Black Eyed Peas,Boom Boom Pow
249,Gucci Mane featuring Usher,Spotlight
250,Starpoint,Object of My Desire
251,Outkast featuring Sleepy Brown,The Way You Move
252,MGMT,Kids
253,Afro-Rican,Give It All You Got (Doggy Style)
254,Dominique Young Unique,Show My Ass
255,T. Rex,20th Century Boy
256,Kylie Minogue,Can't Get You Out of My Head
257,Trick Daddy featuring The Slip-N-Slide Express,Take It to Da House
258,The Temptations,Get Ready
259,T.I. featuring Keri Hilson,Got Your Back
260,Birdman featuring Drake and Lil Wayne,Money to Blow
261,The Isley Brothers,Shout
262,Blue Oyster Cult,(Don't Fear) the Reaper
263,The Cars,Moving in Stereo
264,N.E.R.D,Everyone Nose (All the Girls Standing in the Line for the Bathroom)
265,Bone Thugs-n-Harmony,1st of tha Month
266,Drake,Over
267,Ludacris,"How Low"" (portion sampled samples ""Bring the Noise"" by Public Enemy)"
268,Devo,Gates of Steel
269,Wiz Khalifa,Black and Yellow
270,Fine Young Cannibals,Good Thing (Prince Paul remix)
271,Modern English,I Melt with You
272,Rich Boy,Drop
273,JC featuring Yung Joc,Vote 4 Me
274,Cali Swag District,Teach Me How to Dougie
275,Aaliyah,Try Again
276,Billy Preston,Nothing from Nothing
277,Rancid,Ruby Soho
278,Whodini,I'm a Ho
279,Nine Inch Nails,"Closer"" (portion sampled samples ""Night Clubbing"" by Iggy Pop)"
280,Swizz Beatz featuring Bounty Killer,Guilty
281,50 Cent,Window Shopper
282,E-40 featuring Shawty Lo,Break Ya Ankles
283,Cassidy featuring Swizz Beatz,B-Boy Stance
284,Nas,Got Ur Self A…
285,Nicki Minaj,Your Love
286,V.I.C.,Wobble
287,T'Pau,Heart and Soul
288,Rob Base and DJ E-Z Rock,Joy and Pain
289,Diddy-Dirty Money featuring Rick Ross and Nicki Minaj,Hello Good Morning (Remix)
290,N.W.A,"Straight Outta Compton"" (portion sampled samples ""Get Me Back on Time, Engine #9"" by Wilson Pickett)"
291,Billy Squier,The Big Beat
292,The Clash,Should I Stay or Should I Go
293,Cream,Sunshine of Your Love
294,Kesha,Tik Tok
295,Daft Punk,Television Rules the Nation
296,Steve Miller Band,Jungle Love
297,Depeche Mode,Just Can't Get Enough
298,Katy Perry featuring Snoop Dogg,California Gurls
299,Free School featuring Kelis and apl.de.ap,Grey Goose (Whatcha Sippin' On)
300,Belinda Carlisle,Heaven Is a Place on Earth
301,Janet Jackson,Someone to Call My Lover
302,MSTRKRFT featuring N.O.R.E.,Bounce
303,Shorty Long,Function at the Junction
304,Duke Williams and the Extremes,Chinese Chicken
305,2 Live Crew,Get It Girl
306,Young Dro featuring T.I. and Gucci Mane,Freeze Me
307,Ginuwine,Pony
308,Yeah Yeah Yeahs,Heads Will Roll
309,The Ting Tings,That's Not My Name
310,J. Cole,Blow Up
311,J-Kwon,Yeah
312,George Harrison,Got My Mind Set on You
313,Three 6 Mafia,Who Run It
314,Diamond,Lotta Money
315,Public Enemy,Bring the Noise
316,The Young Rascals,Good Lovin'
317,T-No featuring Slick Rick,Fucked Up
318,Lil Wil,Bust It Open
319,Jane's Addiction,Jane Says
320,Trina featuring Killer Mike,Look Back at Me
321,Fabolous featuring Nate Dogg,Can't Deny It
322,DJ Amaze,I Wanna Rock
323,50 Cent,Get Up
324,Swizz Beatz,It's Me Bitches
325,LL Cool J,Jingling Baby (Remixed But Still Jingling)
326,"The Notorious B.I.G. featuring Diddy, Nelly, Jagged Edge, and Avery Storm",Nasty Girl
327,The Notorious B.I.G.,Nasty Boy
328,"Trina featuring Kase, Deuce Poppi and Trick Daddy",Pull Over (Remix)
329,Jibbs featuring Lloyd,The Dedication (Ay DJ)
330,DJ Laz featuring Flo Rida and Casely,Move Shake Drop
331,Black Box,Everybody Everybody
332,Dennis Coffey and the Detroit Guitar Band,Scorpio
333,Basement Jaxx,Where's Your Head At?
334,Jordan Knight,Give It to You
335,Travis Porter,Go Shorty Go
336,John Lennon,Imagine
337,David Banner featuring Chris Brown,Get Like Me
338,Kid Cudi featuring Kanye West and Common,"Make Her Say"" (portion sampled samples ""In the Morning Time"" by Tramaine)"
339,Diddy featuring Christina Aguilera,Tell Me
340,Marva Whitney,Unwind Yourself
341,"Krave featuring Flo Rida, Pitbull, and Lil Jon",Go Crazy
342,T.I.,Rubberband Man
343,Rosalind Rice featuring French Montana,Hustler
344,The Edgar Winter Group,Frankenstein
345,DMX featuring Sheek Louch,Get at Me Dog
